"id","name","bic","country"
"l10n_np_bank_1","Kumari Bank","KMBLNPKA","Nepal"
"l10n_np_bank_2","Rastriya Banijya Bank","RBBANPKA","Nepal"
"l10n_np_bank_3","Agriculture Development Bank","ADBLNPKA","Nepal"
"l10n_np_bank_4","Nabil Bank","NARBNPKA","Nepal"
"l10n_np_bank_5","Nepal Investment Mega Bank","NIBLNPKT","Nepal"
"l10n_np_bank_6","Standard Chartered Bank Nepal","SCBLNPKA","Nepal"
"l10n_np_bank_7","Himalayan Bank","HIMANPKA","Nepal"
"l10n_np_bank_8","Nepal SBI Bank","NSBINPKA","Nepal"
"l10n_np_bank_9","Everest Bank","EVBLNPKA","Nepal"
"l10n_np_bank_10","Prabhu Bank","PRVUNPKA","Nepal"
"l10n_np_bank_11","Laxmi Sunrise Bank","LXBLNPKA","Nepal"
"l10n_np_bank_12","Global IME Limited","GLBBNPKA","Nepal"
"l10n_np_bank_13","Citizens Bank International Ltd","CTZNNPKA","Nepal"
"l10n_np_bank_14","Prime Commercial Bank","PCBLNPKA","Nepal"
"l10n_np_bank_15","NMB Bank Nepal","NMBBNPKA","Nepal"
"l10n_np_bank_16","NIC Asia Bank","NICENPKA","Nepal"
"l10n_np_bank_17","Siddhartha Bank","SIDDNPKA","Nepal"
"l10n_np_bank_18","Sanima Bank","SNMANPKA","Nepal"
"l10n_np_bank_19","Machhapuchchhre Bank","MBLNNPKA","Nepal"
"l10n_np_bank_20","Nepal Bank Limited","NEBLNPKA","Nepal"
"l10n_np_bank_21","INMB","NINFNPKA","Nepal"
